pdl,nom,roof_m2,potential,Nom delta conso
,ENSEMBLE SPORTIF VOLTAIRE/GYMNASE VOLTAIRE/ABRIS DE POUBELLES,,Pas de potentiel,
,ENSEMBLE SPORTIF VOLTAIRE/GYMNASE VOLTAIRE/SOUS STATION CHAUFFAGE,,Pas de potentiel,
50003582940448,ESPACE CULTUREL RENE PROBY,802,,
,ESPACE CULTUREL RENE PROBY/CHAUFFERIE/SOUS STATION - 1ER ETAGE,,Pas de potentiel,
,ESPACE CULTUREL RENE PROBY/REGIE - 1ER ETAGE ,,Neutre,
,ESPACE CULTUREL RENE PROBY/SALLE DES FETES,,Neutre,
,ESPACE CULTUREL RENE PROBY/SALLE MULTIFONCTION (EX BAR/RESTAURANT),,Neutre,
19362807484852,ESPACE ELSA TRIOLET,,Pas de potentiel,
50085907426215,ESPACE PETITE ENFANCE EUGENIE COTTON,1014,Pas de potentiel,
,ESPACE PETITE ENFANCE EUGENIE COTTON/ CHAUFFERIE,,Pas de potentiel,
,ESPACE PETITE ENFANCE EUGENIE COTTON/LOGEMENT EUGENIE COTTON - APPARTEMENT T4 (1 LOCATAIRE),,Pas de potentiel,
NA,ESPACE PETITE ENFANCE ROMAIN ROLLAND,,Pas de potentiel,
,ESPACE PETITE ENFANCE ROMAIN ROLLAND/ABRIS DE VÉLOS - POUSSETTES,,Pas de potentiel,
,ESPACE PETITE ENFANCE ROMAIN ROLLAND/CHAUFFERIE,,Pas de potentiel,
30001931606401,ESPACE PETITE ENFANCE SALVADOR ALLENDE,1254,Pas de potentiel,
,ESPACE PETITE ENFANCE SALVADOR ALLENDE/CHAUFFERIE,,Pas de potentiel,
19368017325672,ESPACE PLACE DE LA LIBERTE (ANCIENNE MAIRIE)/BATIMENT PRINCIPAL,266,Pas de potentiel,
,ESPACE PLACE DE LA LIBERTE (ANCIENNE MAIRIE)/BATIMENT PRINCIPAL/CHAUFFERIE,,Pas de potentiel,
,ESPACE PLACE DE LA LIBERTE (ANCIENNE MAIRIE)/LA MIELLERIE,,Pas de potentiel,
30001931175950,ESPACE VALLES - SALLE D'EXPOSITIONS,0,Pas de potentiel,
19363241638240,ESPACE VERLAINE - SALLE MULTIFONCTION,0,Pas de potentiel,
NA,GARAGES - RUE DOCTEUR LAMAZE N°25 (18 GARAGES - 5 LOUES),0,Pas de potentiel,
NA,GARAGES / CAVES - AVENUE AMBROISE CROIZAT N°40 (2 GARAGES / 6 CAVES) En cours de vente - 2ème trimestre 2024,0,Pas de potentiel,
30001931731493,GROUPE SCOLAIRE CONDORCET/ECOLE ELEMENTAIRE CONDORCET,879,Potentiel élevé,
,GROUPE SCOLAIRE CONDORCET/ECOLE ELEMENTAIRE CONDORCET/SOUS STATION CHAUFFAGE ELEMENTAIRE - CIRCUIT 1,,Pas de potentiel,
,GROUPE SCOLAIRE CONDORCET/ECOLE ELEMENTAIRE CONDORCET/SOUS STATION CHAUFFAGE ELEMENTAIRE - CIRCUIT 2,,Pas de potentiel,
30001931731493,GROUPE SCOLAIRE CONDORCET/ECOLE MATERNELLE CONDORCET,999,Pas de potentiel,
,GROUPE SCOLAIRE CONDORCET/ECOLE MATERNELLE CONDORCET/CHAUFFERIE GROUPE SCOLAIRE ,,Pas de potentiel,
30001931731493,GROUPE SCOLAIRE CONDORCET/RESTAURANT SCOLAIRE CONDORCET,334,Pas de potentiel,
,GROUPE SCOLAIRE CONDORCET/RESTAURANT SCOLAIRE CONDORCET/ABRIS DE POUBELLES,,Pas de potentiel,
,GROUPE SCOLAIRE CONDORCET/ABRIS DE POUBELLES,,Pas de potentiel,
,GROUPE SCOLAIRE CONDORCET/ABRIS DE VELOS,,Pas de potentiel,
NA,GROUPE SCOLAIRE GABRIEL PERI,2120,Potentiel élevé,
,GROUPE SCOLAIRE GABRIEL PERI/ABRIS DE VELOS 1,,Pas de potentiel,
,GROUPE SCOLAIRE GABRIEL PERI/ABRIS DE VELOS 2,,Pas de potentiel,
,GROUPE SCOLAIRE GABRIEL PERI/CHAUFFERIE GROUPE SCOLAIRE,,Pas de potentiel,
,GROUPE SCOLAIRE GABRIEL PERI/ECOLE ELEMENTAIRE GABRIEL PERI,,Neutre,
,GROUPE SCOLAIRE GABRIEL PERI/ECOLE MATERNELLE GABRIEL PERI,,Neutre,
,GROUPE SCOLAIRE GABRIEL PERI/HALTE GARDERIE ALEXANDRA DAVID NEEL,,Pas de potentiel,
,GROUPE SCOLAIRE GABRIEL PERI/RESTAURANT SCOLAIRE GABRIEL PERI,,Pas de potentiel,
,GROUPE SCOLAIRE GABRIEL PERI/RESTAURANT SCOLAIRE GABRIEL PERI/ABRIS DE POUBELLE,,Pas de potentiel,
50037736010297,GROUPE SCOLAIRE HENRI BARBUSSE/ECOLE ELEMENTAIRE HENRI BARBUSSE,1466,Potentiel élevé,
,GROUPE SCOLAIRE HENRI BARBUSSE/ABRIS DE VELOS,,Pas de potentiel,
,GROUPE SCOLAIRE HENRI BARBUSSE/ECOLE ELEMENTAIRE HENRI BARBUSSE/CHAUFFERIE GROUPE SCOLAIRE,,Pas de potentiel,
,GROUPE SCOLAIRE HENRI BARBUSSE/ECOLE ELEMENTAIRE HENRI BARBUSSE/CLASSES ELEMENTAIRE,,Pas de potentiel,
,GROUPE SCOLAIRE HENRI BARBUSSE/ECOLE ELEMENTAIRE HENRI BARBUSSE/CLASSES MATERNELLE,,Pas de potentiel,
,GROUPE SCOLAIRE HENRI BARBUSSE/ECOLE ELEMENTAIRE HENRI BARBUSSE/RESTAURANT SCOLAIRE HENRI BARBUSSE,440,Pas de potentiel,
50037736010297,GROUPE SCOLAIRE HENRI BARBUSSE/ECOLE ELEMENTAIRE HENRI BARBUSSE/SALLE D'EVOLUTION HENRI BARBUSSE,450,Potentiel élevé,
,GROUPE SCOLAIRE HENRI BARBUSSE/ECOLE ELEMENTAIRE HENRI BARBUSSE/SALLE D'EVOLUTION HENRI BARBUSSE,450-SE,Pas de potentiel,
50037736010297,GROUPE SCOLAIRE HENRI BARBUSSE/ECOLE ELEMENTAIRE HENRI BARBUSSE/SANITAIRES EXTERIEURS,0,Pas de potentiel,
